course_title,skills,job_role
Discover and Implement the 10 Traits Great Leaders Have,,ML Engineer
Making Numerical Predictions for Time Series Data - Part 1/3,,Data Scientist
Mastering Microsoft Teams Training Tutorial,,ML Engineer
Power BI - Complete Data Analytics with visualisations,,Data Analyst
Training Needs Analysis,,ML Engineer
Airbnb Design Secrets: Become a Premier Host in Your City!,,ML Engineer
Automated Freelancing Guide,,Frontend Developer
Scrum Fundamentals: Beginner's Guide to Scrum,,Frontend Developer
Data Engineering — How to Build an ETL Pipeline Using SSIS,,Data Engineer
Become an Interior Decorator & Designer + Make Portfolios,,Mobile App Developer
The Analyst's toolkit with Power BI [2020],,Data Analyst
Advance Supply Chain Extensive Training 3 - ASCET 3,,ML Engineer
Customer Service Excellence,,Data Analyst
How to manage your process using statistical Excel Tools,,Data Analyst
Easy Statistics: Regression Modelling,,Data Analyst
Interactive Dashboards with Amazon QuickSight,,Data Analyst
Fiverr | The Total Freelance Success Guide for 2023,,Frontend Developer
Data Analytics & Business Intelligence,,Data Analyst
Build A 6-Figure Online Course Business From Scratch In 2023,,Frontend Developer
Learn MySQL from scratch for Data Science and Analytics,,Data Analyst
How to be a High Performance Insurance Broker Part 4,,Backend Developer
Excel For Top MBAs (And Wannabes),,Data Analyst
Quick Start to Entrepreneurship and Innovation,,Frontend Developer
Beginner to Pro in Excel: Financial Modeling and Valuation,,Data Analyst
Blockchain and Bitcoin Fundamentals,,ML Engineer
The Complete Financial Analyst Training & Investing Course,,ML Engineer
"Introduction to Finance, Accounting, Modeling and Valuation",,Data Analyst
Python for Finance: Investment Fundamentals & Data Analytics,,Data Analyst
Accounting & Financial Statement Analysis: Complete Training,,ML Engineer
Excel Crash Course: Master Excel for Financial Analysis,,Data Analyst
Finance for Non-Finance: Learn Quick and Easy,,Frontend Developer
"Economics: Market Forces of demand, supply and equilibrium",,Frontend Developer
Cryptocurrency Trading/TA Course 2023: Achieve Wins Daily!,,ML Engineer
Financial Planning & Analysis: Building a Company's Budget,,Frontend Developer
"Anti-Money Laundering Concepts: AML, KYC and Compliance",,ML Engineer
The economic model of emerging countries - Michael Spence,,Data Analyst
Financial Modeling: Build a Complete DCF Valuation Model,,Data Analyst
Acorns' Guide to Personal Finance,,Frontend Developer
#1 Cryptocurrency Investment Course: A Step-By-Step Guide,,Frontend Developer
"Comprehensive Guide to Financial Markets, Investing &Trading",,Frontend Developer
Investment Banking and Finance: Private Equity Finance,,Frontend Developer
Financial Analysis and Financial Modeling using MS Excel,,Data Analyst
The Ultimate QuickBooks Pro Training Bundle - 70+ Hours,,ML Engineer
Financial Modeling for Startups & Small Businesses,,Data Analyst
Guide to Stock Trading with Candlestick & Technical Analysis,,Frontend Developer
The Credit Analyst Training course,,ML Engineer
Company Valuation & Financial Modeling,,Data Analyst
Personal Finance Masterclass - Easy Guide to Better Finances,,Frontend Developer
Crypto Condensed: The Complete Guide To Bitcoin (2023),,Frontend Developer
Accounting Made Easy: A Quick Guide to Financial Accounting,,Frontend Developer
Advanced Forex Trading - Ichimoku Trading Strategy Explained,,ML Engineer
Blockchain Development on Hyperledger Fabric using Composer,,ML Engineer
Introduction to Financial Modeling for Beginners,,Data Analyst
Become a Top Banker with Complete Retail Banking Training,,ML Engineer
Beginner's Guide - SWIFT Message Types - MT and MX ISO 20022,,Frontend Developer
Blockchain Advanced Level: Uses Beyond Bitcoin,,ML Engineer
"Algorithmic Trading A-Z with Python, Machine Learning & AWS",,ML Engineer
Forex Trading: Your Complete Guide to Get Started Like a Pro,,Frontend Developer
Bookkeeping in QuickBooks Online (Bookkeeping & accounting),,Frontend Developer
The Ultimate Guide to Money Laundering and AML Compliance,,ML Engineer
Investing Success: Learn Keys From A Millionaire Investor!,,ML Engineer
Capital Markets Immersion: A Financial Markets Introduction,,Backend Developer
Ultimate Excel Training Course - Intro to Advanced Pro,,Data Analyst
"Microsoft Excel for Finance, Accounting & Financial Analysis",,Data Analyst
Algorithmic Trading on KiteConnect Platform,,Backend Developer
Level I CFA® Prep Course (2023) - Equity Investments,,Frontend Developer
Bookkeeping Basics Explained (Bookkeeping & Accounting),,ML Engineer
Financial Modeling for Business Analysts and Consultants,,Data Analyst
Financial modeling | Project Finance & Infrastructure,,Data Analyst
The Essentials of Private Equity - What You Need to Know!,,Frontend Developer
SAP FICO For Beginners - A Guide to SAP Financial Accounts,,Frontend Developer
QuickBooks Online 2023 Full Course Bookkeeping Accounting,,Frontend Developer
QuickBooks Online: Bank Feeds & Bank Reconilications,,Frontend Developer
SAP Financial Accounting and Controlling Super User Training,,ML Engineer
Basel Norms (Basel 1/ Basel 2/ Basel 3 till 2015) Simplified,,Backend Developer
Finance Training for Financial Analysts,,ML Engineer
Options Trading for Rookies: Complete Guide to Stock Options,,Frontend Developer
Algorithmic Trading using Interactive Broker's Python API,,Backend Developer
Day Trading 101: A Beginner's Guide to Day Trading Stocks,,Frontend Developer
Tally ERP9 With GST Step By Step Guide From Basic to Advance,,Frontend Developer
Financial Reporting & Analysis: Complete Preparation 2023,,Data Analyst
Excel Data Analytics in AML Financial Intelligence Analysis,,Data Analyst
The Step-By-Step Guide To Your 401k Plan,,Frontend Developer
How Sustainability is Changing The Financial Sector,,ML Engineer
Financial Reporting w/Power BI,,Data Analyst
MQL4 Programming for Traders: Build Robust Trading Robots!,,Frontend Developer
Financial Modeling & Fundamental Analysis,,Data Analyst
QuickBooks Online for Beginners: Small Business & Bookkeeper,,Frontend Developer
Bitcoin Trading Robot - Cryptocurrency Never Losing Formula,,Backend Developer
Financial modeling | Renewable Energy: Solar & Wind,,Data Analyst
Quantity Surveying Building Estimation BBS with Excel & CAD,,Data Analyst
"Internal Controls - Design, Implementation and Monitoring",,DevOps Engineer
"AML Essentials: Anti Money Laundering, KYC and Compliance",,ML Engineer
Internal Audit: a Guide for Management,,Frontend Developer
Complete QuickBooks Training 2018 2019 & 2020,,ML Engineer
Learn Blockchain Technology & Cryptocurrency in Java,,ML Engineer
"Blockchain & Cryptocurrency (Bitcoin, Ethereum) Essentials",,ML Engineer
"Finance, Excel Financial Modeling, & Valuation w/ Accounting",,Data Analyst
Learn SAP Financial Accounting - Online Training,,ML Engineer
ESG and Sustainable Investing 365,,ML Engineer
Financial Budgeting and Forecasting In Excel Complete Course,,Data Analyst
Build A Career In Forex Trading- Learn Fundamental Analysis,,Frontend Developer
Python Data Science with Pandas: Master 12 Advanced Projects,,Data Scientist
The Ultimate Guide to Financial Freedom with Dividends,,Frontend Developer
Financial Accounting & Excel–Comprehensive Accounting Course,,Data Analyst
Credit Repair: The 2023 Total Guide to a Great Credit Score,,ML Engineer
QuickBooks Pro 2017 Training: Manage Small Business Finances,,ML Engineer
Basic Excel for Basic Bookkeeping and Accounting,,Data Analyst
A Beginners Guide to Investing in the Stock Market,,Frontend Developer
How to Read Financial Statements:  Build Financial Literacy.,,Frontend Developer
Fundamentals of Business Accounting 1: Learn Quick and Easy,,Frontend Developer
Triangular Arbitrage for Crypto with Python - (Fast Track),,Frontend Developer
Operational Risks Management ORM,,Backend Developer
Tradingview Pine Script Strategies: The Complete Guide,,Frontend Developer
A Beginners Guide to Technical Analysis of Stock Charts,,Frontend Developer
Tally ERP 9 + TallyPrime + GST 2022 - Practical Training,,ML Engineer
Bookkeeping Basics #3: QuickBooks™ Desktop Fundamentals,,Frontend Developer
QuickBooks Pro & QuickBooks Online - 4 Course Bundle,,Frontend Developer
Beginner to Pro - Excel Tutorial,,Data Analyst
Financial Modeling and Valuation Course 2022,,Data Analyst
"Financial Modelling, Financial Planning and DCF Valuation",,Data Analyst
Ultimate Venture Capital: How to model investment rounds,,Data Analyst
Complete Financial Modeling for Project Finance in Excel,,Data Analyst
The Complete Blockchain Professional Course,,ML Engineer
Introduction to Capital Markets,,Backend Developer
Blockchain For Finance: Using Blockchain & Smart Contracts,,ML Engineer
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",,Data Analyst
The Essential Guide to Stata,,Frontend Developer
Blockchain - Complete Blockchain Course for Beginners.,,ML Engineer
Technical Analysis Beginners Guide for Stock Trading & Forex,,Frontend Developer
The Complete Guide To Anti Money Laundering (AML) Compliance,,ML Engineer
"Fundamental Financial Math: Uses, Applications & Quizzes",,Frontend Developer
AML Case Investigation Skills,,ML Engineer
Bookkeeping and QuickBooks Bundle,,Frontend Developer
Investment Banking Training Bundle 2022,,ML Engineer
AML Compliance in Practice: Suspicious Activity Reports,,ML Engineer
Blockchain Technology: A Guide To The Blockchain Ecosystem,,ML Engineer
Shark Accounting - Building a Business by the Numbers!,,Frontend Developer
Build Financial Models & Value Companies The Easy Way,,Data Analyst
The Passive Investing Blueprint - Build Wealth Passively,,Frontend Developer
Build a DCF Valuation Model,,Data Analyst
International Financial Reporting Standards (IFRS),,Data Analyst
Deep Dive Into Equity Swaps,,Frontend Developer
Become a Blockchain Expert (BE I) | Bitcoin & Cryptocurrency,,ML Engineer
The Business Loan Formula,,Backend Developer
Xero Australia Payroll Complete Training Course,,ML Engineer
Excel Pivot in AML/CFT Customer Bank Statement Analysis,,Data Analyst
QuickBooks Online Complex Issues And Advanced Techniques,,Frontend Developer
"Trading Stock Chart Patterns For Immediate, Explosive Gains",,ML Engineer
Options Trading in plain English for beginners,,ML Engineer
Algorithmic Trading & Time Series Analysis in Python and R,,Data Scientist
"Investment Appraisal Mastery - NPV, IRR, Payback, PI, ARR",,ML Engineer
Project Finance Modeling for Renewable Energy,,Data Analyst
QuickBooks Online for Business: From Setup to Tax Reporting,,Data Analyst
Credit Risk Analysis and Modeling 2022,,Data Analyst
QuickBooks Pro 2016 Training: Manage Small Business Finances,,ML Engineer
Complete Inventory Management in Microsoft Excel &TALLY ERP9,,Data Analyst
Complete Payroll Management in Excel &TALLY ERP9 &TallyPrime,,Data Analyst
Ultimate KYC AML Bootcamp,,ML Engineer
Microsoft Excel Essentials (Bookkeeping & Accounting),,Data Analyst
Become Top Banker With Complete Bank Teller Training - 2023,,ML Engineer
Passive Income - 1-Hour Course To Guide Your Financial Path,,Frontend Developer
Straightforward Technical Analysis for Beginners,,ML Engineer
Forex Trading Secrets of the Pros With Amazon's AWS,,Cloud Engineer
ACCA FR (F7) Financial Reporting - Complete Course,,Data Analyst
Blockchain Technology and Innovation for Beginners - TEC102,,ML Engineer
Quickbooks Online in 90 Mins - For Bookkeeping & Accounting,,Frontend Developer
2023 Edition Financial Modelling from Scratch using MS Excel,,Data Analyst
Step-by-Step 3 Statement Financial Modeling,,Data Analyst
Sanctions Compliance Bootcamp – Including AML/KYC Lectures,,ML Engineer
Create Your Own Automated Stock Trading Robot In EXCEL!,,Data Analyst
Day Trading: Candlestick Trading Mastery For Daily Profit,,ML Engineer
The Beginners Guide to Trading and Investing in Stock Market,,Frontend Developer
"Forensic accounting, fraud investigation and fraud analytics",,Data Analyst
Master Reporting Automation with Google Sheets,,Data Analyst
Blockchain 101: The Basics,,ML Engineer
Bank Reconciliation Statement  using Excel - Easy Guide,,Data Analyst
Fundamental Excel Skills for Accountants and Finance Staff,,Data Analyst
Forex Strategy For Beginners: Build Your Own Trading System,,Frontend Developer
Fundamentals of Business Finance 2: Learn Quick and Easy,,Frontend Developer
Payroll Accounting With Visually Effective Excel Dashboards,,Data Analyst
Dinnertime Conversation on Bitcoin and Blockchain,,ML Engineer
Identifying AML Suspicious Transactions,,ML Engineer
Private Equity Modeling Course 2022,,Data Analyst
Forex Best Currency Pairs Selection Strategy- Forex Trading,,ML Engineer
Learn Depreciation Accounting with Advanced Excel Model,,Data Analyst
Building a Balanced Scorecard,,Frontend Developer
Master QuickBooks 2019: The Complete Training Course,,ML Engineer
The Complete Guide to the Global Capital Markets,,Backend Developer
The Beginner's Guide to Swing Trading Stocks Part-Time,,Frontend Developer
QuickBooks Online-Bookkeeping Business-Easy Way,,Frontend Developer
Financial Mathematics - Theory of Interest & Cashflow Models,,Data Analyst
QuickBooks For Contractors,,Frontend Developer
QuickBooks Online Made Easy Training Tutorial 2017,,ML Engineer
QuickBooks Payroll - QuickBooks Online,,Frontend Developer
Binary Options Beginners Guide : Nadex,,Frontend Developer
The Complete Course on Blockchain and Bitcoin,,ML Engineer
The Complete and Ultimate Guide to Know Your Client (KYC),,Frontend Developer
The Complete Guide to Professional Trading with Elliott Wave,,Frontend Developer
"Financial Ratio Analysis, Modelling and Technical Analysis.",,Data Analyst
Tax & Adjusting Entry Year-End Accounting Excel Worksheet,,Data Analyst
"Xero Bookkeeping & Accounting, w/ Set-up & Reporting",,Data Analyst
Time Value of Money & Capital Budgeting - Present Value,,Backend Developer
Forex Scalping Strategy Course-Guide in Scalping the Forex,,Frontend Developer
The Ultimate Guide to Dividend & Dividend Growth Investing,,Frontend Developer
Financial Modeling for Corporates,,Data Analyst
Master QuickBooks Pro 2017 & QuickBooks 2018 the Easy Way,,Frontend Developer
Cryptography from Scratch| Master Cryptography in Java,,Backend Developer
Financial Modeling for Startups,,Data Analyst
Trade Forex 13 Patterns - Golden Ratios Secret Revealed,,Mobile App Developer
Financial Education from 0: Learn Quick and Easy,,Frontend Developer
Advanced Financial Modeling and Valuation,,Data Analyst
Partnership Income Tax (Form 1065),,Backend Developer
Fixed Income Analytics: Pricing and Risk Management,,Data Analyst
Mergers and Acquisitions Modeling using Excel Course,,Data Analyst
Interactive Brokers Python API - Advanced Concepts,,Backend Developer
Staking Crypto: Earn Passive Income Daily,,ML Engineer
Learning Blockchain Development with EOS and C++,,ML Engineer
The Motley Fool's Guide to Investing,,Frontend Developer
Financial Modeling and Valuation: Complete Beginner to Pro,,Data Analyst
Excel Accounting Problem,,Data Analyst
M&A Theory and Process: A Complete Guide,,Frontend Developer
IFRS Financial Reporting (Conceptual),,Data Analyst
#1 Kick A#S Credit Repair Course - Fully Loaded 150+ Letters,,ML Engineer
Personal Finance Life Coach Certification 3WEC Training,,ML Engineer
QuickBooks 2021 Desktop: Beginner-Advanced Masterclass,,Frontend Developer
"Bitcoin 101 - Complete Intro to Bitcoin, Blockchain & Crypto",,ML Engineer
Zerodha Trading Guide For Better Trading.,,Frontend Developer
High performance Stock Trading using key Options techniques,,Backend Developer
Bookkeeping Basics #4: QuickBooks Online/Certification Prep,,Frontend Developer
Bitcoin & Blockchain for Beginners,,ML Engineer
Advanced Renewable Energy Financial Modeling,,Data Analyst
Performance Optimization and Risk Management for Trading,,Backend Developer
Build your own Naked Trading Forex Robot,,Frontend Developer
Excel 4 Accounting & Bookkeeping - Master Lookup Functions,,Data Analyst
Sage 50 Accounting | Sageline 50 Basic to Advance Training,,ML Engineer
Financial Model Basics: Build a model from start to finish,,Data Analyst
Venture Capital Financial Modeling,,Data Analyst
Binary Options Trading Manual: The Binary Millionaire Method,,ML Engineer
C Corporation Income Tax (Form 1120),,Backend Developer
Day Trading: Technical Analysis Mastery For Daily Profit,,ML Engineer
Equity Research & Financial Modeling,,Data Analyst
Excel Accounting 1–Transactions for Common Data Input Forms,,Data Analyst
Tally ERP 9 Basic to Advance Training Course,,ML Engineer
5-Step Value Investing Formula,,Backend Developer
Relevant Costs - Managerial Accounting Decisions & Scenarios,,Mobile App Developer
Private Equity and Venture Capital with a Witch,,Backend Developer
Financial Analysis in Excel: Debt Management Ratios,,Data Analyst
Master QuickBooks Pro 2015 & 2016 the Easy Way,,Frontend Developer
Blockchain Development: Convert An App To A Dapp (2022),,ML Engineer
Learn How To Trade Nas100 and US30 Professionally,,Cloud Engineer
Fundamentals of Private Equity,,Frontend Developer
Order to Cash (O2C) - Receivables - DSO guide,,Frontend Developer
Crypto Trading & Bitcoin Investing - A Step-by-Step Guide,,Frontend Developer
QuickBooks Online: Bookkeeping Like a Professional,,Frontend Developer
Series 7 Exam Preparation: Equity Securities,,Frontend Developer
Ethereum Developer Masterclass | Blockchain Development,,ML Engineer
NISM Equity Derivative Certification Exam VIII,,Frontend Developer
Financial Modeling & DCF Valuation Model: Investment Banking,,Data Analyst
QuickBooks For Personal Home Finances,,Frontend Developer
Financial Analysis in Excel: Asset Management Ratios,,Data Analyst
"Blockchain Investing: NFT, Metaverse, Crypto, Stocks, & More",,ML Engineer
Build a Robust Stock Valuation System - Financial Modeling,,Data Analyst
Microsoft Excel Training - Interactive Dashboards,,Data Analyst
Financial and Economic Modeling and Investments,,Data Analyst
NFT – NFTs Essentials Training Course 2022,,ML Engineer
"Financial Analysis, Term Loan Appraisal & Working Capital",,ML Engineer
Crash Course on Cost of Capital and Capital Structuring,,Backend Developer
The Complete Ethereum (Cryptocurrency) Guide - Earn Ethereum,,Frontend Developer
"Build a Crypto Bot, 100% Functional - Algorithmic Trading",,Frontend Developer
Corporate Finance 101: Financial Statement Analysis & Ratios,,Mobile App Developer
Zoho CRM - The Ultimate Guide on Zoho CRM,,Frontend Developer
Anti Money Laundering (AML / CFT) Compliance Requirements,,ML Engineer
Blockchain Mastered: Beyond Cryptomania,,ML Engineer
Sage 50cloud Accounting 2020,,Cloud Engineer
Finance Fundamentals for Building an Investment Portfolio,,Frontend Developer
Quickbooks Desktop Basic to Advance Training Course,,ML Engineer
Become a Blockchain Developer: Ethereum + Solidity + Project,,ML Engineer
Bank Reconciliation & VAT on Excel,,Data Analyst
Forex Trading: The Complete Guide for Beginners,,Frontend Developer
Retail Maths for Merchandisers and Buyers,,ML Engineer
"Stochastic Processes, Markov Chains and Markov Jumps",,ML Engineer
"Anyone can understand Blockchain, Bitcoin and Crypto!",,ML Engineer
The Step by Step Guide to Get Out of Debt Easily,,Frontend Developer
The Complete Mergers & Acquisitions Master Class!,,Frontend Developer
Audit & Forensic Data Analysis with MS Excel,,Data Analyst
The COMPLETE guide to start mining bitcoin in the AWS Cloud,,Frontend Developer
Algorithmic Trading with Python: Machine Learning strategies,,ML Engineer
Quantitative Financial Modeling in Microsoft Excel,,Data Analyst
Options Masterclass-Learn how to create daily income,,ML Engineer
Payments Professionals Bootcamp : Focus on SWIFT Messages,,Mobile App Developer
MetaTrader 4 Forex Platform: Start Trading with a Pro Trader,,Backend Developer
Tally Prime + Advance Excel Combo Training Pack,,Data Analyst
"Managing Financial Reporting, Operating, and Compliance Risk",,Data Analyst
Learn QuickBooks Pro 2014 the Easy Way,,Frontend Developer
Governmental Accounting 200 Capital Projects & Debt Service,,Backend Developer
Excel Financial Modeling and Business Analysis Masterclass,,Data Analyst
MYOB AccountRight Basic to Pro Training Course,,ML Engineer
Advanced Options Trading in plain English,,ML Engineer
Forex Breakout Profits: The Definitive Guide,,Frontend Developer
Financial Modeling and Forecasting Analysis Bootcamp,,Data Analyst
Financial modeling: Build a forward looking integrated model,,Data Analyst
All Weather Investing Via Quantitative Modeling In Excel,,Data Analyst
CPU Mining on Android Device - Mine Crypto and Monero XMR,,Mobile App Developer
The Financial Analyst's Complete Guide to Excel [2023],,Data Analyst
Cryptocurrency & Bitcoin for Beginners in Plain English.,,ML Engineer
QuickBooks Payroll - QuickBooks Pro Desktop,,Frontend Developer
Algorithmic Options Trading on Interactive Brokers' Platform,,Backend Developer
Decision Making with Excel for Managers,,Data Analyst
Investment Portfolio Optimization with Excel & R,,Data Analyst
QuickBooks Online vs. Excel 2022,,Data Analyst
Savings 101: Easy Ways to Become a Millionaire by Saving!,,ML Engineer
Algorithmic trading on Alpaca's Platform  - Deep Dive,,Backend Developer
The Complete Guide to Bitcoin and Other Cryptocurrency,,Frontend Developer
Xero Advanced Accounting - The Complete Training Course,,ML Engineer
Create a 3-Statement Budget Model in Excel,,Data Analyst
Financial analysis: Compare performance of companies,,Backend Developer
QuickBooks Online for Contractors,,Frontend Developer
Blockchain Deep-Dive: from Bitcoin to Ethereum to Crypto,,ML Engineer
Cryptocurrency Basics | Beginners Guide To Cryptocurrency,,Frontend Developer
MS Excel - Get Basic MS Excel Skills in Almost 1 Hour,,Data Analyst
QuickBooks Online Crash Course,,Frontend Developer
Build a Trading Comps Valuation Model,,Data Analyst
Mastering QuickBooks Desktop Beginner To Advanced,,Frontend Developer
Learn ThinkOrSwim TOS Stock Options Trading Platform In 1 HR,,Backend Developer
Ultimate Guide to Stock Market Passive Income,,Frontend Developer
Basics of Financial Markets & Capital Market in India,,Backend Developer
build a solid foundation for trading options,,Frontend Developer
Advance Excel for Financial Reporting & Financial Analysis,,Data Analyst
Introduction to Small Business Accounting Training Tutorial,,ML Engineer
Acumen Presents: Mihir Desai on Demystifying Finance,,ML Engineer
Complete Beginner's Domain Investing,,ML Engineer
Forex Trading: Candlestick Trading Mastery For Daily Profit,,ML Engineer
QuickBooks Desktop vs. Excel,,Data Analyst
Financial Freedom Formula - A Holistic Blueprint for Success,,Backend Developer
Offline Business Models in Excel - Practical Guide,,Data Analyst
Stock Sector Investing Via Quantitative Modeling In Excel,,Data Analyst
LBO Modeling,,Data Analyst
Forex Trading: Technical Analysis Mastery For Daily Profit,,ML Engineer
QuickBooks Desktop Pro -Personal Bookkeeping-Accounting,,Frontend Developer
Deep Learning for algorithmic trading using Python,,ML Engineer
Free Course to making daily profits trading Crypto,,ML Engineer
Credit Repair from A-Z with Letter Templates,,ML Engineer
"Credit Policy, Products, Delivery, Appraisal, Risk & Rating",,ML Engineer
MultiBagger trading performance Forex ALGO with no indicator,,Backend Developer
Capitalism in Crisis: The global economic crisis explained ,,ML Engineer
Ultimate Retirement: Build Your Own Dynamic Retirement Plan,,Frontend Developer
"Bank Feeds-QuickBooks Online, Xero, Sage, Wave (Comparison)",,Frontend Developer
How To Scalp Forex: A Simple System For Consistent Gains,,ML Engineer
The Complete US30 and SP500 Trading Strategy,,Cloud Engineer
QuickBooks Desktop Not for Profit Organizations,,Frontend Developer
Volatility Trading Via Quantitative Modeling In Excel,,Data Analyst
Beginner's Guide to Shares Investing,,Frontend Developer
QUICKBOOKS CLEAN UP THE MESS,,Frontend Developer
Complete Guide to Candlestick Analysis,,Frontend Developer
SAP PP training for all,,ML Engineer
Excel for Financial Engineering and Loss Reserving (CM2),,Data Analyst
Data Structures and Algorithmic Trading: Machine Learning,,ML Engineer
Complete Cryptocurrency & Blockchain Course | Learn Solidity,,ML Engineer
Basel Norms ( Basel 1 / Basel 2 / Basel 3 ) Masterclass,,Backend Developer
Data-Driven Investing with Python | Financial Data Science,,Data Scientist
Investment Analysis with Natural Language Processing NLP,,Data Scientist
Learn Ethereum Blockchain & Smart Contracts within 1 Hour,,ML Engineer
Mastering QuickBooks Desktop Pro 2020 Training Tutorial,,ML Engineer
CFA Level 1 (2023) Financial Reporting and Analysis,,Data Analyst
A Complete Guide to Indian Payroll Management,,Frontend Developer
Xero Cloud Accounting Basic to Pro Complete Course,,Cloud Engineer
Bitcoin Blueprint - Your Guide to Launch Bitcoin Website,,Frontend Developer
Accounts Payable guide for Beginners 2.0,,Frontend Developer
Data science for algorithmic trading 2022,,Data Scientist
Introduction to Operational Risk Management ORM,,Backend Developer
Blockchain for Business in 2020: Fundamentals and Use Cases,,ML Engineer
A Creator's Guide to NFTs,,Frontend Developer
Financial Modeling - Build Your Own 3 Statement Projection,,Data Analyst
The Ultimate Guide to Personal Finance & Investing,,Frontend Developer
Making Tax Digital - UK HMRC Legislation Explained,,ML Engineer
Stock Market Trading and Equity Markets Foundations Course,,Frontend Developer
How to build a Weekly Passive Income with Dividend Investing,,Frontend Developer
Hands-on Financial Modeling (With 6 Excel Templates),,Data Analyst
Stock Trading Introduction - Beginner's Guide,,Frontend Developer
Cost Accounting and Artificial Intelligence (AI) Tools,,ML Engineer
ACCA PM (F5) Performance Management - A Comprehensive Course,,Backend Developer
Blockchain and Cryptocurrency - Learn by playing a game!,,ML Engineer
Anti-Money Laundering (AML) Fundamentals,,ML Engineer
How to Build a Massive Stock Portfolio from Zero!,,Frontend Developer
Blockchain Technology & Bitcoin - Quick & Easy Learning,,ML Engineer
Straightforward Guide on how to use TradingView,,ML Engineer
SOX 302: Internal Controls over Financial Reporting,,Data Analyst
Private Equity and LBO Modelling,,Data Analyst
Prepper's Guide to Crypto Currency,,Frontend Developer
Implementation of Anti Money Laundering AML Framework,,ML Engineer
Introduction to Data Analytics for Accountants,,Data Analyst
Forecast Business Outcomes with Monte Carlo Analysis,,Data Scientist
How to Stake and Yield Farm Osmosis Crypto for Daily Gains,,ML Engineer
Public Key Cryptography From Scratch In Python,,Cybersecurity Analyst
Beginners Guide to Forex Trading.,,Frontend Developer
MetaTrader 5: A Forex Trading Platform for Everyone,,Backend Developer
Financial Advisor Training: Phoning and Prospecting,,ML Engineer
The Ultimate Forex Trading Beginners Guide,,Frontend Developer
Applied Machine Learning with R (Trading Use Case) - 2020,,ML Engineer
Cryptocurrency Beginners Course: Your Practical Crypto Guide,,Frontend Developer
Ultimate Guide to Options Trading: From Novice to Pro,,Frontend Developer
Principles of Actuarial Modelling,,Data Analyst
Build Blockchain Applications: Proof-Of-Existence,,ML Engineer
QuickBooks Pro 2013 Training the Easy Way,,ML Engineer
The Complete Guide for your SUA Project (for any versions).,,Frontend Developer
The Ultimate Guide to Successful Forex Trading,,Frontend Developer
Accounting 101: International Financial Reporting Standards,,Data Analyst
Defensive Stock Investing Via Quantitative Modeling In Excel,,Data Analyst
Liquidity Management for Management Consultants & Managers,,Frontend Developer
Nailing Your First Quarter as CFO,,ML Engineer
Forex Algorithmic Trading-Build Portfolios of EAs- No coding,,Frontend Developer
Time Series for Actuaries,,Data Scientist
Organize Your Money With Quicken - Basic & Advanced,,Frontend Developer
Corporate Finance 101: Equity Valuation,,Frontend Developer
Corporate Finance #11 Capital Budgeting,,Backend Developer
Basics of Credit Management- A Practical Approach + Quiz,,Frontend Developer
Complete analysis of Financial Statements and Key Ratios,,Mobile App Developer
Introduction to Economic Capital Management and Modelling,,Data Analyst
QuickBooks Online Plus Made Easy Training Tutorial 2015,,ML Engineer
Financial Statements Modeling 2020 Learn With A Professional,,Data Analyst
Writing an equity research report,,Frontend Developer
Business Valuation - Mergers and Acquisitions,,Frontend Developer
The Complete Trading Guide to Commodities Options Selling,,Frontend Developer
Excel for Accounting and Bookkeeping,,Data Analyst
QuickBooks Online,,Frontend Developer
Full DeFi - Dapp Complete Guide - The 2020 Crypto Revolution,,Frontend Developer
QuickBooks 2018 Training: Manage Small Business Finances,,ML Engineer
Algorithmic Stock Trading and Equity Investing with Python,,Frontend Developer
Advanced Excel functions,,Data Analyst
Learn BaaS (Blockchain-as-a-Service) by Microsoft Azure,,ML Engineer
"Blockchain dApp Development (Ethereum, Solidity & Web3.js)",,ML Engineer
CAIIB Advanced Bank Management (Part I),,ML Engineer
Hedge Funds: The Complete Guide,,Frontend Developer
Cryptocurrency/Bitcoin - Made Easy (First Timer's Guide),,Frontend Developer
Forex Trading: Complete Guide for Beginners,,Frontend Developer
QuickBooks Advanced Customers And Receivables Transactions,,Frontend Developer
Life Insurance & Annuity Ultimate Buyer’s Guide,,Frontend Developer
Quickbooks Online - Level 2 Bookkeeping,,Frontend Developer
Digital banking and information technology (IT) in banks,,Backend Developer
Mastering QuickBooks 2016 Made Easy Training Tutorial,,ML Engineer
Hands-On Guide to Stock Trading and Investing in the US,,Frontend Developer
Mergers & Acquisitions - M&A Modeling,,Data Analyst
Ultimate Guide To Trading Engulfing Candlestick Strategy,,Frontend Developer
Mastering QuickBooks Desktop Pro 2019 Training Tutorial,,ML Engineer
Business Fundamentals 2020 Accounting Excel & Stock Research,,Data Analyst
"An Introduction: MT4 Email, Sound, Notification Forex Alerts",,ML Engineer
Financial analytics in practice,,Data Analyst
"Freelancer's Guide to Self Employment Taxes, Budget, Savings",,Frontend Developer
Cryptocurrency. Ethereum Blockchain. Bitcoin Smart Contracts,,ML Engineer
Theory of Credit Risk Models,,Data Analyst
Mastering QuickBooks Online Bookkeeping & Accounting,,Frontend Developer
Equity Research & Equity Analyst Program 2022,,Frontend Developer
How To Be A Digital Real Estate Owner: The Complete Guide,,Frontend Developer
